Latitude,Longitude,Accident Frequency,Accident Severity,Road Type,Road Condition,Weather,Lighting,Speed Limit (km/h),Traffic Volume (vehicles/day),Road Curvature,Elevation & Gradient,Intersections,Pedestrian Activity,Road Signage,Guardrails,Accident Prone
-17.75092,32.401429,12,2,Highway,Good,Rainy,Day,120,10322,Straight,High,3,High,Present,Absent,1
-17.265037,31.723306,10,4,Rural Road,Good,Clear,Day,80,26118,Sharp,Low,4,Medium,Present,Present,1
-16.602229,32.431264,13,5,Highway,Good,Rainy,Day,120,14206,Straight,Low,1,Medium,Present,Present,1
-17.406579,30.869709,5,1,Rural Road,Poor,Rainy,Day,120,14185,Sharp,Medium,4,Low,Absent,Present,1
-16.526226,32.04449,7,3,Highway,Fair,Rainy,Day,60,28854,Gentle,High,0,Medium,Present,Present,0
-17.878035,31.150367,12,3,Urban Road,Good,Foggy,Night,90,25769,Straight,Low,2,Low,Present,Present,1
-18.284217,30.562858,11,4,Rural Road,Good,Clear,Night,80,25052,Straight,Low,5,Medium,Present,Present,1
-18.289011,31.413069,7,3,Urban Road,Good,Clear,Night,50,3306,Straight,High,0,Low,Present,Present,0
-17.53034,31.884872,8,3,Urban Road,Fair,Rainy,Day,50,8585,Sharp,Low,1,Medium,Present,Absent,0
-17.966438,32.45323,9,1,Urban Road,Fair,Clear,Day,100,23919,Gentle,Low,2,Low,Absent,Present,0
-16.533154,31.297649,6,5,Rural Road,Good,Clear,Night,110,10338,Straight,Low,0,Medium,Present,Absent,1
-18.224958,31.182133,14,4,Highway,Poor,Clear,Day,50,7423,Sharp,Medium,2,Low,Present,Absent,1
-16.806678,32.212649,9,4,Highway,Good,Rainy,Day,70,29759,Straight,Medium,4,Low,Present,Present,1
-17.603152,32.488915,6,5,Highway,Good,Rainy,Night,120,13296,Gentle,Medium,5,Low,Present,Absent,1
-17.713805,32.284093,11,1,Urban Road,Fair,Clear,Night,70,26067,Straight,Medium,0,High,Present,Present,0
-16.733012,31.995438,17,5,Urban Road,Poor,Clear,Day,120,8102,Straight,Low,1,Low,Absent,Present,1
-17.359878,30.694353,6,2,Urban Road,Poor,Clear,Night,110,23980,Straight,Low,1,Medium,Absent,Present,0
-17.496967,32.09659,11,4,Rural Road,Good,Clear,Day,110,2853,Straight,Low,5,Low,Present,Present,1
-18.425304,32.145201,9,1,Rural Road,Good,Foggy,Day,100,2876,Straight,Low,2,Medium,Present,Absent,0
-17.467399,31.145913,13,4,Urban Road,Good,Clear,Day,110,25944,Gentle,Low,1,Low,Present,Present,1
-17.070808,31.820395,12,5,Urban Road,Good,Clear,Night,50,29932,Straight,Low,0,Low,Absent,Present,1
-18.465678,32.026729,13,5,Urban Road,Fair,Rainy,Day,110,25289,Sharp,Medium,4,Medium,Present,Absent,1
-16.611497,32.234398,11,4,Urban Road,Fair,Clear,Day,90,7387,Straight,High,1,Low,Present,Present,1
-17.745482,30.577926,11,2,Urban Road,Poor,Clear,Night,50,22358,Straight,Medium,4,High,Present,Present,0
-16.564839,31.595944,9,3,Rural Road,Fair,Clear,Night,120,25190,Sharp,High,0,Medium,Present,Present,1
-17.744542,31.568655,10,5,Rural Road,Good,Clear,Night,80,6360,Straight,High,3,Low,Present,Present,1
-17.913578,31.157329,5,2,Urban Road,Poor,Clear,Day,80,17368,Moderate,Medium,4,Medium,Present,Present,1
-17.706697,32.283794,6,3,Urban Road,Poor,Rainy,Day,110,6312,Gentle,Low,3,Low,Present,Present,0
-17.651556,32.312709,5,5,Urban Road,Fair,Rainy,Night,110,11576,Moderate,Medium,3,High,Present,Present,1
-16.762802,30.947192,18,5,Highway,Poor,Clear,Night,90,27826,Gentle,Low,0,Low,Present,Absent,1
-17.10615,31.268404,18,4,Highway,Good,Clear,Day,120,21129,Straight,Low,4,High,Absent,Present,1
-17.427807,31.119055,13,5,Highway,Good,Foggy,Day,90,20222,Sharp,Low,5,Medium,Present,Present,1
-17.747073,32.121107,11,3,Rural Road,Poor,Clear,Day,50,2404,Straight,High,0,Low,Present,Absent,0
-17.329701,31.952242,13,5,Urban Road,Good,Foggy,Day,100,6544,Gentle,Medium,3,Low,Present,Present,1
-17.547579,32.162743,8,4,Urban Road,Poor,Clear,Day,110,17254,Moderate,Medium,1,Medium,Absent,Present,1
-16.539075,31.716176,11,3,Rural Road,Good,Clear,Night,80,6637,Gentle,High,4,Medium,Present,Absent,0
-16.962165,30.632472,8,3,Highway,Good,Clear,Day,110,8090,Straight,Medium,3,Low,Absent,Present,0
-17.164885,30.84464,7,5,Urban Road,Good,Clear,Day,90,8376,Straight,High,0,Low,Present,Present,1
-16.901179,31.755801,5,5,Highway,Poor,Clear,Day,80,29342,Gentle,High,5,Medium,Present,Present,1
-17.005058,30.573366,7,3,Urban Road,Good,Clear,Day,110,15503,Straight,Low,1,Low,Absent,Present,0
-17.429329,30.966433,8,2,Urban Road,Fair,Clear,Day,60,14910,Moderate,Low,2,Low,Present,Absent,0
-17.28489,30.988706,10,1,Highway,Good,Clear,Day,80,13613,Straight,Low,0,Low,Present,Present,0
-16.535243,30.724078,7,3,Rural Road,Fair,Clear,Day,90,8469,Sharp,Medium,3,Low,Present,Present,0
-17.27876,31.077261,11,4,Urban Road,Fair,Clear,Day,90,24422,Gentle,Low,1,Low,Present,Present,1
-18.266608,31.446332,11,1,Rural Road,Fair,Clear,Night,70,7256,Straight,Low,0,Medium,Present,Absent,0
-18.220455,32.090535,7,5,Highway,Good,Rainy,Night,50,16060,Gentle,Medium,5,Medium,Present,Present,1
-17.622511,31.654973,9,2,Urban Road,Poor,Rainy,Day,100,29202,Gentle,Low,3,Medium,Present,Present,0
-16.712215,32.077194,6,5,Urban Road,Good,Clear,Night,90,15946,Moderate,Low,4,Low,Absent,Present,1
-17.705425,32.094591,6,4,Urban Road,Good,Clear,Day,60,28410,Gentle,High,5,High,Present,Present,1
-17.575988,32.394567,6,2,Urban Road,Good,Rainy,Night,80,17343,Gentle,High,1,Medium,Present,Present,1
-18.345358,30.708494,6,2,Rural Road,Good,Foggy,Night,110,8514,Gentle,Low,0,Medium,Present,Absent,1
-17.292557,30.728535,9,2,Urban Road,Fair,Foggy,Day,70,6971,Sharp,Low,0,Low,Present,Absent,0
-17.775212,31.661177,11,5,Urban Road,Poor,Clear,Day,100,23566,Sharp,Medium,0,Low,Present,Present,1
-16.900436,31.198774,10,5,Urban Road,Fair,Clear,Night,110,29633,Gentle,Low,1,Low,Present,Present,1
-17.831274,30.651007,13,3,Urban Road,Fair,Clear,Day,60,21846,Gentle,Low,2,Low,Present,Present,1
-18.291783,32.099832,6,2,Rural Road,Poor,Rainy,Night,120,22931,Sharp,Low,5,Low,Absent,Present,1
-18.328983,30.915773,11,2,Rural Road,Fair,Clear,Night,70,6566,Straight,High,4,Low,Present,Present,0
-17.911068,32.396907,13,2,Urban Road,Poor,Clear,Day,60,5186,Gentle,Medium,1,Medium,Present,Present,1
-16.83014,32.468804,10,5,Highway,Poor,Clear,Day,100,28657,Gentle,Medium,1,Medium,Present,Present,1
-17.972632,31.032997,12,5,Urban Road,Good,Foggy,Day,80,21065,Straight,Low,5,Medium,Present,Present,1
-18.009302,31.278591,8,1,Urban Road,Fair,Foggy,Day,120,6853,Straight,Low,1,Low,Present,Present,0
-18.397148,31.492732,11,2,Urban Road,Good,Clear,Day,90,11130,Gentle,Low,2,Medium,Present,Present,0
-17.95571,31.680461,9,3,Rural Road,Fair,Rainy,Day,80,3341,Sharp,Medium,4,Medium,Present,Present,0
-16.538846,32.306728,11,1,Rural Road,Good,Rainy,Night,110,24297,Gentle,High,5,Low,Present,Present,1
-18.269436,31.343525,10,3,Urban Road,Fair,Rainy,Day,60,22662,Straight,Medium,0,Low,Present,Absent,0
-17.459664,31.353634,14,3,Rural Road,Good,Rainy,Day,120,15919,Moderate,High,3,Low,Present,Present,1
-17.540437,31.661514,8,1,Urban Road,Fair,Rainy,Day,90,3165,Straight,High,1,Low,Present,Present,1
-16.524555,31.355546,9,4,Rural Road,Fair,Clear,Day,110,28039,Moderate,Medium,5,Medium,Present,Absent,1
-18.036657,32.385464,11,5,Highway,Good,Clear,Day,60,24786,Moderate,High,5,High,Absent,Absent,1
-16.510184,30.84779,9,1,Highway,Poor,Clear,Day,110,29736,Gentle,Medium,1,Low,Present,Present,0
-17.546646,30.588753,14,1,Urban Road,Good,Clear,Day,120,23754,Moderate,Low,5,High,Present,Absent,1
-16.517049,30.623034,14,3,Rural Road,Good,Rainy,Day,90,3312,Moderate,Medium,3,Medium,Absent,Absent,1
-16.825973,31.894943,12,4,Highway,Poor,Rainy,Day,110,14713,Straight,Low,5,High,Present,Present,1
-16.986728,31.017377,7,3,Rural Road,Fair,Clear,Day,120,3007,Straight,Medium,1,Low,Absent,Present,0
-18.141005,32.007398,13,4,Highway,Good,Rainy,Day,60,11077,Straight,Medium,2,Medium,Absent,Present,1
-17.608083,31.795147,11,5,Highway,Good,Clear,Night,60,13801,Straight,Low,3,Low,Present,Present,1
-16.910381,31.887364,7,4,Urban Road,Good,Foggy,Day,80,2988,Sharp,Low,2,High,Present,Present,1
-17.876096,31.141485,12,3,Highway,Fair,Clear,Night,120,21994,Sharp,Low,0,Low,Present,Present,0
-17.439291,30.535724,13,4,Rural Road,Good,Clear,Day,110,13536,Gentle,Low,0,Low,Present,Present,1
-17.336057,31.037987,13,5,Highway,Fair,Rainy,Day,110,10357,Straight,Medium,0,High,Absent,Absent,1
-17.001677,30.791844,5,4,Urban Road,Fair,Clear,Day,60,8368,Straight,Low,0,Medium,Present,Present,1
-16.545067,30.901718,17,3,Highway,Poor,Clear,Day,60,27291,Moderate,Medium,5,Medium,Present,Present,1
-17.17836,31.606003,11,3,Highway,Good,Clear,Night,80,12326,Gentle,Low,2,Low,Absent,Present,0
-18.135764,32.079397,11,2,Highway,Fair,Clear,Day,70,18002,Straight,Low,4,Low,Present,Present,0
-17.574754,32.236545,12,4,Urban Road,Fair,Rainy,Day,60,20096,Gentle,Medium,1,Medium,Present,Absent,1
