sampleId,sampleDate,nitrogenScore,phosphorusScore,potassiumScore,magnesiumScore,sulfurScore,calciumScore,wiltingScore,objectsDetectedCount,damageDetected,dominantColors,healthStatus,damageSeverity
temp_upload,2025-05-05 00:00:00,9,10,9,9,9,9,5,83.0,True,"[[162, 199, 128], [203, 230, 188], [104, 151, 61], [63, 108, 24], [150, 195, 59]]",Excellent,
temp_upload,2025-05-05 00:00:00,9,10,9,9,9,9,7,18.0,True,"[[150, 171, 111], [72, 110, 24], [218, 228, 211], [34, 56, 16], [115, 155, 27]]",Excellent,
temp_upload,2025-05-05 00:00:00,7,9,7,7,7,7,5,18.0,True,"[[53, 62, 24], [159, 137, 74], [252, 252, 250], [191, 174, 121], [98, 105, 46]]",Poor,
temp_upload,2025-05-05,8,10,8,8,8,8,9,13.0,True,"[[109, 135, 52], [176, 199, 60], [161, 149, 105], [69, 94, 25], [200, 208, 157]]",Good,
temp_upload,2025-05-05,9,10,9,9,9,9,7,18.0,True,"[[34, 55, 16], [151, 172, 112], [72, 110, 24], [219, 229, 212], [115, 155, 29]]",Excellent,
temp_upload,2025-05-05,7,9,7,7,7,7,5,18.0,True,"[[159, 137, 74], [53, 62, 24], [252, 252, 250], [98, 105, 46], [191, 174, 121]]",Poor,
temp_captured,2025-05-07,9,9,9,9,9,9,6,,True,"[[129, 51, 46], [23, 98, 52], [21, 28, 40], [45, 29, 135], [121, 132, 27]]",Poor,High
temp_continuous_capture,2025-05-07,9,9,9,9,9,9,6,,True,"[[115, 122, 32], [33, 25, 143], [18, 49, 49], [106, 39, 99], [136, 49, 40]]",Poor,High
temp_continuous_capture,2025-05-07,9,9,9,9,9,9,6,,True,"[[118, 121, 34], [33, 26, 145], [16, 50, 51], [113, 40, 101], [135, 51, 38]]",Poor,High
temp_continuous_capture,2025-05-07,9,9,9,9,9,9,6,,True,"[[116, 125, 32], [114, 41, 100], [134, 52, 37], [18, 50, 48], [31, 26, 140]]",Poor,High
temp_continuous_capture,2025-05-07,9,9,9,9,9,9,6,,True,"[[117, 129, 31], [25, 26, 134], [117, 39, 98], [15, 53, 49], [135, 55, 36]]",Poor,High
temp_continuous_capture,2025-05-07,9,9,9,9,9,9,6,,True,"[[129, 44, 59], [15, 92, 68], [124, 111, 32], [43, 25, 138], [22, 31, 43]]",Poor,High
temp_continuous_capture,2025-05-07,9,9,9,9,9,9,6,,True,"[[40, 28, 134], [130, 44, 51], [17, 95, 65], [119, 115, 32], [21, 29, 40]]",Poor,High
temp_continuous_capture,2025-05-07,9,9,9,9,9,9,6,,True,"[[22, 29, 41], [129, 43, 59], [118, 109, 33], [44, 24, 139], [15, 86, 73]]",Poor,High
temp_continuous_capture,2025-05-07,9,9,9,9,9,9,6,,True,"[[16, 97, 67], [133, 45, 52], [41, 28, 134], [23, 33, 43], [122, 116, 31]]",Poor,High
temp_continuous_capture,2025-05-07,9,9,9,9,9,9,6,,True,"[[130, 43, 59], [23, 31, 42], [15, 89, 72], [43, 24, 140], [120, 109, 32]]",Poor,High
temp_upload,2025-05-07,5,10,1,4,5,4,6,,True,"[[41, 233, 136], [44, 202, 67], [48, 55, 187], [48, 117, 77], [39, 153, 162]]",Excellent,High
temp_continuous_capture,2025-05-07,9,9,9,9,9,9,6,,True,"[[40, 27, 135], [133, 46, 53], [21, 30, 42], [15, 94, 68], [121, 117, 31]]",Poor,High
temp_upload,2025-05-07,2,10,1,1,2,1,1,57.0,True,"[[41, 232, 134], [39, 158, 162], [45, 197, 66], [46, 60, 178], [48, 112, 78]]",Excellent,High
temp_upload,2025-05-07,1,9,1,1,1,1,1,74.0,True,"[[38, 142, 78], [29, 85, 182], [38, 202, 98], [42, 66, 71], [23, 145, 164]]",Fair,High
temp_continuous_capture,2025-05-07,9,9,9,7,9,7,1,117.0,True,"[[26, 51, 57], [58, 35, 154], [114, 46, 43], [84, 50, 98], [71, 114, 44]]",Poor,High
temp_continuous_capture,2025-05-07,9,9,8,5,9,5,1,120.0,True,"[[44, 43, 100], [110, 54, 48], [27, 44, 48], [30, 104, 60], [59, 38, 159]]",Poor,High
temp_continuous_capture,2025-05-07,9,9,8,5,9,5,1,136.0,True,"[[59, 37, 155], [27, 46, 48], [105, 56, 55], [42, 42, 100], [34, 102, 60]]",Poor,High
temp_upload,2025-05-07,2,10,1,1,2,1,1,57.0,True,"[[39, 158, 162], [45, 197, 66], [41, 232, 134], [48, 113, 78], [46, 60, 178]]",Excellent,High
sample_20250508062952,2025-05-08 06:30:01,2,10,1,1,2,1,1,57.0,True,"[[39, 159, 161], [46, 60, 178], [48, 112, 78], [41, 233, 134], [45, 197, 66]]",Excellent,High
